Module	Statistic	Figure	en	fr
density/abundance	density of clusters (or animal density if non-clustered)	Df	DoF DensClu	DegLib DensClu
density/abundance	density of animals	Value	Density	Densité
density/abundance	density of animals	Cv	ConfInd Density	IndConf Densité
density/abundance	density of animals	Lcl	Min Density	Min Densité
density/abundance	density of animals	Ucl	Max Density	Max Densité
density/abundance	density of animals	Df	DoF Density	DegLib Densité
density/abundance	number of animals, if survey area is specified	Value	Number	Nombre
density/abundance	number of animals, if survey area is specified	Cv	ConfInd Number	IndConf Nombre
density/abundance	number of animals, if survey area is specified	Lcl	Min Number	Min Nombre
density/abundance	number of animals, if survey area is specified	Ucl	Max Number	Max Nombre
density/abundance	number of animals, if survey area is specified	Df	DoF Number	DegLib Nombre
density/abundance	bootstrap density of clusters	Value	BootsDensClu	BootsDensClu
density/abundance	bootstrap density of clusters	Cv	ConfInd BootsDensClu	IndConf BootsDensClu
density/abundance	bootstrap density of clusters	Lcl	Min BootsDensClu	Min BootsDensClu
density/abundance	bootstrap density of clusters	Ucl	Max BootsDensClu	Max BootsDensClu
density/abundance	bootstrap density of clusters	Df	DoF BootsDensClu	DegLib BootsDensClu
density/abundance	bootstrap density of animals	Value	BootDensity	DensitéBoot
density/abundance	bootstrap density of animals	Cv	ConfInd BootDensity	IndConf DensitéBoot
density/abundance	bootstrap density of animals	Lcl	Min BootDensity	Min DensitéBoot
density/abundance	bootstrap density of animals	Ucl	Max BootDensity	Max DensitéBoot
density/abundance	bootstrap density of animals	Df	DoF BootDensity	DegLib DensitéBoot
density/abundance	bootstrap number of animals	Value	BootNumber	NombreBoot
density/abundance	bootstrap number of animals	Cv	ConfInd BootNumber	IndConf NombreBoot
density/abundance	bootstrap number of animals	Lcl	Min BootNumber	Min NombreBoot
density/abundance	bootstrap number of animals	Ucl	Max BootNumber	Max NombreBoot
density/abundance	bootstrap number of animals	Df	DoF BootNumber	DegLib NombreBoot
